query_id,name,jurisdiction
p001,Danner,AT
p002,MAHLE Filtersysteme,AT
p003,LOMAR,BM
p004,Uphols Ventures,CH
p005,bean ventures,CH
p006,BROKTECH INSURANCE & REINSURANCE,CY
p007,Mastermind Shipmanagement,CY
p008,PERLA RUBBIN,CY
p009,Agualeve,DE
p010,Auto-FŸrst,DE
p011,EUMAX,DE
p012,Ernst Winterhoff,DE
p013,FEPA,DE
p014,Gerry W Online DACH,DE
p015,H&B Handel,DE
p016,Holzhandel Lau,DE
p017,Lumesca,DE
p018,NikuTRAX,DE
p019,Partner 1011201,DE
p020,Pfotenliebe,DE
p021,WIBA 24,DE
p022,YH Handelsmarkt,DE
p023,luzemar,DE
p024,posylka.de,DE
p025,Dšhler Fraga,ES
p026,HYDI CORP,FR
p027,Veoneer France SAS,FR
p028,ATLANTAS SHIP GROUP,GB
p029,JDR Cable Systems,GB
p030,RicCoffee (UK),GB
p031,Union Maritime,GB
p032,LS Assets,GG
p033,Tufton Assets,GG
p034,Eurolink Motorway Operation,IE
p035,Uniconfort,IT
p036,DOMINION FIDUCIARY SERVICES,JE
p037,MATEL,JE
p038,MATEL,JE
p039,DBG Fund VII GP,LU
p040,Peak Energy Capital,LU
p041,Splendid Sea,MT
p042,Dutch Home Label,NL
p043,Hoyz,NL
p044,Maxecom,NL
p045,More Footballs,NL
p046,Sporttrader,NL
p047,MARO SPî_KA,PL
p048,SOLSQUARE SPî_KA,PL
p049,NEUMANN GRUPPE,US
p050,TIDEMAR INTERNATIONAL,VG
