query_id,registry_id,registry_court,name_normalized_register_name,jurisdiction_confirmed,confidence,source,no_match_reason
p001,00445790,,TESCO PLC,GB,0.92,https://search.gleif.org/#/record/2138002P5RNKC5W2JZ46,
p002,33011433,,Heineken N.V.,NL,0.88,https://search.gleif.org/#/record/724500K5PTPSST86UQ23,
p003,HRB 42243,Amtsgericht München,Bayerische Motoren Werke Aktiengesellschaft,DE,0.95,https://search.gleif.org/#/record/YEH5ZCD6E441RHVHD759,
p004,,,Siemens,DE,0.95,https://www.wikidata.org/wiki/Q81230,
p005,56247t,Landesgericht Salzburg,Red Bull GmbH,AT,0.92,https://search.gleif.org/#/record/5299000HTNHA5ACH9N32,
p006,CHE-105.909.036,,NESTLÉ S.A.,CH,0.95,https://search.gleif.org/#/record/KY37LUS27QQX7BB93L28,
p007,806592,,Apple Inc.,US-CA,0.9,https://search.gleif.org/#/record/HWUPKR0MPOU8FGXBT394,
p008,426160-7,,SHOPIFY INC.,CA,0.93,https://search.gleif.org/#/record/549300HGQ43STJLLP808,
p009,632012100,,L'OREAL,FR,0.92,https://annuaire-entreprises.data.gouv.fr/entreprise/632012100,
p010,,,Orlen,PL,0.97,https://www.wikidata.org/wiki/Q971649,
p011,,,,,0.6,,not_in_registry
p012,HRB 169227,Amtsgericht München,Wirecard AG,DE,0.9,https://search.gleif.org/#/record/529900A8LX4KL0YUTH71,
p013,,,Apple Inc.,US,0.92,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000320193,
p014,HRB 719915,Amtsgericht Mannheim,SAP SE,DE,0.9,https://search.gleif.org/#/record/529900D6BF99LW9R2E68,
p015,HRB 3868,Amtsgericht Fürth,adidas AG,DE,0.95,https://search.gleif.org/#/record/549300JSX0Z4CW0V5023,
p016,5560427220,,H & M Hennes & Mauritz AB,SE,0.82,https://search.gleif.org/#/record/529900O5RR7R39FRDM42,
p017,0112038-9,,Nokia Oyj,FI,0.95,https://tietopalvelu.ytj.fi/yritys/0112038-9,
p018,32345794,,Maersk A/S,DK,0.86,https://search.gleif.org/#/record/254900BLYIXBFFRLUJ90,
p019,104547,,Ryanair DAC,IE,0.82,https://search.gleif.org/#/record/635400WKFIPCHCKVW376,
p020,33.000.167/0001-01,,PETROLEO BRASILEIRO S A PETROBRAS,BR,0.9,https://search.gleif.org/#/record/5493000J801JZRCMFE49,
