query_id;confidence;confidence_flag;source;registry_id__got;registry_id__expected;registry_id__verdict;registry_court__got;registry_court__expected;registry_court__verdict;name_normalized_register_name__got;name_normalized_register_name__expected;name_normalized_register_name__verdict;jurisdiction_confirmed__got;jurisdiction_confirmed__expected;jurisdiction_confirmed__verdict;no_match_reason__got;no_match_reason__expected;no_match_reason__verdict;registered_address__got;registered_address__expected;registered_address__verdict;incorporation_date__got;incorporation_date__expected;incorporation_date__verdict;organization_type__got;organization_type__expected;organization_type__verdict;status__got;status__expected;status__verdict
p001;0.15;ambiguous;;;FN 13695 b;MISSING;;Landesgericht Linz;MISSING;;Danner OG;MISSING;;AT;MISSING;ambiguous_candidates;;MATCH;;Hasenfeld 7, 4222, St. Georgen an der Gusen, AT;MISSING;;1990-06-04;MISSING;;Offene Gesellschaft;MISSING;;active;MISSING
p002;0.85;probable;https://search.gleif.org/#/record/529900Q999QJ65UBHU24;96970d;96970D;MATCH;;Landes- und Handelsgericht Klagenfurt;MISSING;MAHLE Filtersysteme Austria GmbH;MAHLE Filtersysteme Austria GmbH;MATCH;AT;AT;MATCH;;;OK_EMPTY;St. Michael ob Bleiburg 19, 9143, St. Michael ob Bleiburg, AT;St. Michael ob Bleiburg 19, 9143, St. Michael ob Bleiburg, AT;MATCH;1994-05-17;1987-12-16;MISMATCH;GmbH;GmbH;MATCH;active;active;MATCH
p003;0.15;ambiguous;;;42754;MISSING;;Reg. of Companies Bermuda;MISSING;;LOMAR CORPORATION LIMITED;MISSING;;BM;MISSING;ambiguous_candidates;;MATCH;;Hamilton, BM;MISSING;;;OK_EMPTY;;Limited;MISSING;;;OK_EMPTY
p004;0.0;not_found;;;CHE-146.885.077;MISSING;;;OK_EMPTY;;Uphols Ventures AG;MISSING;;CH;MISSING;not_in_registry;;MATCH;;Zug, CH;MISSING;;;OK_EMPTY;;AG;MISSING;;;OK_EMPTY
p005;0.0;not_found;;;CHE-177.206.689;MISSING;;Kanton Obwalden;MISSING;;bean ventures GmbH;MISSING;;CH;MISSING;not_in_registry;;MATCH;;Sachseln, CH;MISSING;;;OK_EMPTY;;Gesellschaft mit beschränkter Haftung;MISSING;;;OK_EMPTY
p006;0.85;probable;https://search.gleif.org/#/record/2138005K2J6WHVXSYG20;ΗΕ 413905;HE 413905;MATCH;;Nicosia;MISSING;BROKTECH INSURANCE & REINSURANCE BROKER LIMITED;BROKTECH INSURANCE & REINSURANCE BROKER LIMITED;MATCH;CY;CY;MATCH;;;OK_EMPTY;36 AGIAS ELENIS, GALAXIAS BUILDING, BLOCK B, 6TH FLOOR, 1061, NICOSIA, CY;Kosta Ourani 5, 3085, Limassol, CY;MISMATCH;2020-10-14;;MATCH;Limited;Limited;MATCH;active;;MATCH
p007;0.2;ambiguous;;;HE265320;MISSING;;;OK_EMPTY;;Mastermind Shipmanagement Limited;MISSING;;CY;MISSING;ambiguous_candidates;;MATCH;;Limassol, CY;MISSING;;;OK_EMPTY;;Limited;MISSING;;;OK_EMPTY
p008;0.0;not_found;;;328722;MISSING;;;OK_EMPTY;;PERLA RUBBIN AND SONS LTD;MISSING;;CY;MISSING;not_in_registry;;MATCH;;Nikosia, CY;MISSING;;;OK_EMPTY;;Limited;MISSING;;;OK_EMPTY
p009;0.0;not_found;;;HRB 247216;MISSING;;München;MISSING;;Agualeve GmbH;MISSING;;DE;MISSING;not_in_registry;;MATCH;;Südliche Münchner Straße 60c, 82031, Grünwald, DE;MISSING;;2019-02-20;MISSING;;Gesellschaft mit beschränkter Haftung;MISSING;;active;MISSING
p010;0.0;not_found;;;HRA 480574;MISSING;;Stuttgart;MISSING;;Auto-Fürst e.K.;MISSING;;DE;MISSING;not_in_registry;;MATCH;;Bahnhofstraße 17, 77773, Schenkenzell, DE;MISSING;;2014-04-28;MISSING;;eingetragener Kaufmann;MISSING;;active;MISSING
p011;0.0;not_found;;;HRB 799509;MISSING;;Stuttgart;MISSING;;EUMAX GmbH;MISSING;;DE;MISSING;not_in_registry;;MATCH;;Berblingerstraße 1, 71254, Ditzingen, DE;MISSING;;2025-01-14;MISSING;;Gesellschaft mit beschränkter Haftung;MISSING;;active;MISSING
p012;0.25;ambiguous;;;HRA 17569;MISSING;;Wuppertal;MISSING;;Ernst Winterhoff GmbH & Co. KG;MISSING;;DE;MISSING;ambiguous_candidates;;MATCH;;Walter-Freitag-Str. 10, 42899, Remscheid, NRW, DE;MISSING;;1916-12-12;MISSING;;GmbH & Co. KG;MISSING;;active;MISSING
p013;0.72;probable;https://search.gleif.org/#/record/3912004I5MLHBWNJ3C06;HRB 269071;HRB 87763;MISMATCH;;Darmstadt;MISSING;FePa Beteiligungsgesellschaft UG (haftungsbeschränkt);FEPA GmbH;MISMATCH;DE;DE;MATCH;;;OK_EMPTY;Killerstr. 17, 80999, München, DE-BY, DE;Am Zollstock 3, 64546, Mörfelden-Walldorf, DE;MISMATCH;2021-08-27;2009-01-27;MISMATCH;63KS;Gesellschaft mit beschränkter Haftung;MISMATCH;active;active;MATCH
p014;0.0;not_found;;;HRB 110771;MISSING;;Düsseldorf;MISSING;;Gerry W Online DACH GmbH;MISSING;;DE;MISSING;not_in_registry;;MATCH;;Rheinpromenade 11, 40789, Monheim am Rhein, DE;MISSING;;2025-09-15;MISSING;;Gesellschaft mit beschränkter Haftung;MISSING;;active;MISSING
p015;0.1;ambiguous;;;HRB 107954;MISSING;;Düsseldorf;MISSING;;H&B Handel GmbH;MISSING;;DE;MISSING;ambiguous_candidates;;MATCH;;Kokkolastraße 5, 40882, Ratingen, DE;MISSING;;2025-02-07;MISSING;;Gesellschaft mit beschränkter Haftung;MISSING;;active;MISSING
p016;0.0;not_found;;;HRA 729735;MISSING;;Ulm;MISSING;;Holzhandel Lau e.K.;MISSING;;DE;MISSING;not_in_registry;;MATCH;;Bihlafinger Straße 20, 88480, Achstetten, DE;MISSING;;2025-08-19;MISSING;;eingetragener Kaufmann;MISSING;;active;MISSING
p017;0.0;not_found;;;HRB 107858;MISSING;;Mannheim;MISSING;;Lumesca GmbH;MISSING;;DE;MISSING;not_in_registry;;MATCH;;Gablonzer Str. 28 a, 76185, Karlsruhe, DE;MISSING;;1997-06-02;MISSING;;Gesellschaft mit beschränkter Haftung;MISSING;;active;MISSING
p018;0.0;not_found;;;HRB 46511;MISSING;;Bielefeld;MISSING;;NikuTRAX GmbH;MISSING;;DE;MISSING;not_in_registry;;MATCH;;Im Hülsen 13, 33739, Bielefeld, DE;MISSING;;2025-10-09;MISSING;;Gesellschaft mit beschränkter Haftung;MISSING;;active;MISSING
