query_id,registry_id,registry_court,name_normalized,jurisdiction_confirmed,no_match_reason,registered_address,incorporation_date,organization_type,status,confidence_flag
p001,FN 13695 b,Landesgericht Linz,Danner OG,AT,,"Hasenfeld 7, 4222, St. Georgen an der Gusen, AT",1990-06-04,Offene Gesellschaft,active,verified
p002,96970D Landes- und Handelsgericht Klagenfurt,,MAHLE Filtersysteme Austria GmbH,AT,,"St. Michael ob Bleiburg 19, 9143, St. Michael ob Bleiburg, AT",1987-12-16,GmbH,active,verified
p003,42754,Reg. of Companies Bermuda,LOMAR CORPORATION LIMITED,BM,,"Hamilton, BM",,Limited,,verified
p004,CHE-146.885.077,,Uphols Ventures AG,CH,,"Zug, CH",,AG,,verified
p005,CHE-177.206.689,Kanton Obwalden,bean ventures GmbH,CH,,"Sachseln, CH",,Gesellschaft mit beschränkter Haftung,,verified
p006,HE 413905,Nicosia,BROKTECH INSURANCE & REINSURANCE BROKER LIMITED,CY,,"Kosta Ourani 5, 3085, Limassol, CY",,Limited,,verified
p007,HE265320,,Mastermind Shipmanagement Limited,CY,,"Limassol, CY",,Limited,,verified
p008,328722,,PERLA RUBBIN AND SONS LTD,CY,,"Nikosia, CY",,Limited,,verified
p009,HRB 247216,München,Agualeve GmbH,DE,,"Südliche Münchner Straße 60c, 82031, Grünwald, DE",2019-02-20,Gesellschaft mit beschränkter Haftung,active,verified
p010,HRA 480574,Stuttgart,Auto-Fürst e.K.,DE,,"Bahnhofstraße 17, 77773, Schenkenzell, DE",2014-04-28,eingetragener Kaufmann,active,verified
p011,HRB 799509,Stuttgart,EUMAX GmbH,DE,,"Berblingerstraße 1, 71254, Ditzingen, DE",2025-01-14,Gesellschaft mit beschränkter Haftung,active,verified
p012,HRA 17569,Wuppertal,Ernst Winterhoff GmbH & Co. KG,DE,,"Walter-Freitag-Str. 10, 42899, Remscheid, NRW, DE",1916-12-12,GmbH & Co. KG,active,verified
p013,HRB 87763,Darmstadt,FEPA GmbH,DE,,"Am Zollstock 3, 64546, Mörfelden-Walldorf, DE",2009-01-27,Gesellschaft mit beschränkter Haftung,active,verified
p014,HRB 110771,Düsseldorf,Gerry W Online DACH GmbH,DE,,"Rheinpromenade 11, 40789, Monheim am Rhein, DE",2025-09-15,Gesellschaft mit beschränkter Haftung,active,verified
p015,HRB 107954,Düsseldorf,H&B Handel GmbH,DE,,"Kokkolastraße 5, 40882, Ratingen, DE",2025-02-07,Gesellschaft mit beschränkter Haftung,active,verified
p016,HRA 729735,Ulm,Holzhandel Lau e.K.,DE,,"Bihlafinger Straße 20, 88480, Achstetten, DE",2025-08-19,eingetragener Kaufmann,active,verified
